menu,price,genre,name,adress,tel,lat,lng,url
<瓶ビール> アサヒ スーパードライ 小瓶334ml/<瓶ビール> キリン 一番搾り 小瓶334ml 各種,594,居酒屋,全席個室 湊一や 梅田店,大阪府大阪市北区小松原町1-10　梅田パルビル8F,050-5831-1099,34.7021853,135.5007048,https://www.hotpepper.jp/strJ000973186/
<瓶ビール> サッポロ ヱビス 小瓶334ml,616,居酒屋,全席個室 湊一や 梅田店,大阪府大阪市北区小松原町1-10　梅田パルビル8F,050-5831-1099,34.7021853,135.5007048,https://www.hotpepper.jp/strJ000973186/
<生>サントリープレミアムモルツ,600,創作料理,産地直送海鮮　和食　恒雅（つねまさ）　北新地,大阪府大阪市北区曽根崎新地１-5-32 ボネールビル2F,06-6341-7770,34.6990236,135.5081067,https://www.hotpepper.jp/strJ001029415/
ASAHI 中瓶 スーパードライ,750,和食,北新地 十喜,大阪府大阪市北区堂島１-1-21 GOTS３号館  2階,06-4796-7701,34.6961283,135.5002997,https://www.hotpepper.jp/strJ001186739/
ASAHIスーパードライ  瓶ビール,490,アジア・エスニック料理,京都パクチーリンクス梅田店,大阪府大阪市北区大深町1-1　ヨドバシリンクス梅田B1F,06-4256-6635,34.7040943,135.496268,https://www.hotpepper.jp/strJ001259221/
ASAHIスーパードライ  生ビール,490,アジア・エスニック料理,京都パクチーリンクス梅田店,大阪府大阪市北区大深町1-1　ヨドバシリンクス梅田B1F,06-4256-6635,34.7040943,135.496268,https://www.hotpepper.jp/strJ001259221/
B.B(アサヒ・赤星サッポロ),528,居酒屋・中華,大衆食堂ぬ。,大阪府大阪市北区兎我野町11-20　新大同ビル102,050-5289-8792,34.7011441,135.503577,https://www.hotpepper.jp/strJ001192743/
Beer小瓶(アサヒスーパードライ),880,イタリアン・フレンチ,YUNiCO（ユニコ）,大阪府大阪市北区曽根崎新地１-5-17サウザンドビル4F,050-5259-3901,34.6990236,135.5081067,https://www.hotpepper.jp/strJ001248916/
Budweiser (USA) バドワイザー(アメリカ),750,ダイニングバー・バル,muse umekita winebar&grill　グランフロント大阪,大阪府大阪市北区大深町３-１ グランフロント大阪北館６F,06-6485-7175,34.7053446,135.4945926,https://www.hotpepper.jp/strJ001127713/
DRY THE COOL(アサヒ瓶),528,焼肉・ホルモン・居酒屋,和牛　焼肉　Moo(モー),大阪府大阪市北区堂山町17-23,050-5356-4454,34.7039926,135.5024631,https://www.hotpepper.jp/strJ001215990/
Guinness (Ireland) ギネス(アイルランド),750,ダイニングバー・バル,muse umekita winebar&grill　グランフロント大阪,大阪府大阪市北区大深町３-１ グランフロント大阪北館６F,06-6485-7175,34.7053446,135.4945926,https://www.hotpepper.jp/strJ001127713/
Guinness (ギネス),990,ダイニングバー・バル,ｍｉｍｉｚｕｋｕ　ｅａｓｙｂａｒ,大阪府大阪市北区曽根崎新地２-1-13 巽梅田ビル1F,050-5223-2672,34.6977315,135.4946846,https://www.hotpepper.jp/strJ000505826/
HOEGAARDEN WHITE ヒューガルデン・ホワイト Small,850,ダイニングバー・バル,DRUNK　BEARS　Nu茶屋町店,大阪府大阪市北区茶屋町10-12　NU茶屋町Ｂ1Ｆ,06-6372-7275,34.7069626,135.4990769,https://www.hotpepper.jp/strJ000063146/
Heineken Extra Cold draft ハイネケン エクストラ コールド ドラフト,600,ダイニングバー・バル,muse umekita winebar&grill　グランフロント大阪,大阪府大阪市北区大深町３-１ グランフロント大阪北館６F,06-6485-7175,34.7053446,135.4945926,https://www.hotpepper.jp/strJ001127713/
Hoegaarden (Belgium) ヒューガルデン(ベルギー),750,ダイニングバー・バル,muse umekita winebar&grill　グランフロント大阪,大阪府大阪市北区大深町３-１ グランフロント大阪北館６F,06-6485-7175,34.7053446,135.4945926,https://www.hotpepper.jp/strJ001127713/
PSB パーフェクトサントリービール,418,居酒屋・和食,肉寿司　大衆肉酒場　肉汁　梅田お初天神店,大阪府大阪市北区曽根崎２-１４-１３ 曽根崎河合ビル,050-5286-0334,34.7009106,135.500539,https://www.hotpepper.jp/strJ001168896/
SAPPORO黒ラベル 生,2860,ダイニングバー・バル,BBQ33（ビービーキューサンジュウサン）,大阪府大阪市北区大深町3-1 グランフロント大阪北館6F,050-3154-8299,34.7053446,135.4945926,https://www.hotpepper.jp/strJ001051422/
STザ・プレミアムモルツ,700,焼肉・ホルモン,お肉の駒,大阪府大阪市北区曽根崎新地１-11-4 山大ビル2F,050-5283-8313,34.6988348,135.4844905,https://www.hotpepper.jp/strJ003366400/
Suntory香るエール プレミアムモルツ,550,焼肉・ホルモン,牛肉専門　ぶんご牛肉店　梅田北新地店,大阪府大阪市北区堂島１-5-7 堂島グランドビル1F,06-6486-9091,34.6960735,135.4961021,https://www.hotpepper.jp/strJ001230981/
[大瓶]アサヒ,715,居酒屋,世界の山ちゃん 梅田東通り店,大阪府大阪市北区堂山町1-14　こだまレジャービル1F,06-6365-8878,34.7028402,135.5040926,https://www.hotpepper.jp/strJ001034341/
[樽生]サッポロ黒ラベル,720,和食,一六茶寮,大阪府大阪市北区梅田１-13-13  阪神梅田本店9Ｆ,050-5828-7630,34.7012797,135.4983196,https://www.hotpepper.jp/strJ001280249/
[樽生]サッポロ黒ラベル,500,和食,一六茶寮,大阪府大阪市北区梅田１-13-13  阪神梅田本店9Ｆ,050-5828-7630,34.7012797,135.4983196,https://www.hotpepper.jp/strJ001280249/
[樽生]サッポロ黒ラベル 中(380ml),660,和食,おぼん食堂16,大阪府大阪市北区大深町4-20 グランフロント大阪南館7階,050-5499-0968,34.7053491,135.4945979,https://www.hotpepper.jp/strJ003366505/
[樽生]サッポロ黒ラベル 小(240ml),429,和食,おぼん食堂16,大阪府大阪市北区大深町4-20 グランフロント大阪南館7階,050-5499-0968,34.7053491,135.4945979,https://www.hotpepper.jp/strJ003366505/
[瓶]アサヒ,638,居酒屋・ダイニングバー・バル,アフロスタンド,大阪府大阪市北区神山町14-3メゾン崎山1FA号室,050-5841-6333,34.7041394,135.5058602,https://www.hotpepper.jp/strJ001287293/
[瓶]赤星サッポロ,638,居酒屋・ダイニングバー・バル,アフロスタンド,大阪府大阪市北区神山町14-3メゾン崎山1FA号室,050-5841-6333,34.7041394,135.5058602,https://www.hotpepper.jp/strJ001287293/
~ザ・プレミアム・モルツ~ マスターズドリーム,748,焼肉・ホルモン・洋食,花殿 ka-den 梅田茶屋町　近江牛一頭買い牧場直送店,大阪府大阪市北区芝田１丁目7-2阪急かっぱ横丁2F,050-5350-3156,34.7071744,135.4980634,https://www.hotpepper.jp/strJ001117383/
■サントリー ザ・プレミアム・モルツ生ビール,880,イタリアン・フレンチ,スカイダイニング＆バーラウンジ トップサーティ,大阪府大阪市北区梅田1-9-20大阪マルビル30F,06-6346-0310,34.6998287,135.4970207,https://www.hotpepper.jp/strJ000030416/
◇アサヒスーパードライ,550,焼肉・ホルモン,炭火焼肉　神戸あぶり牧場　阪急東通り店　神戸牛精肉店直営,大阪府大阪市北区堂山町2-11 MKビートルビル 2階,06-6130-7611,34.7028249,135.5035494,https://www.hotpepper.jp/strJ001051430/
☆サッポロ 生,550,焼肉・ホルモン・韓国料理,和牛焼肉食べ放題ヤキニクギャング梅田店,大阪府大阪市北区曽根崎２丁目10-21第3河合ビル1Ｆ,050-5815-5549,34.7007326,135.5009073,https://www.hotpepper.jp/strJ001270245/
《WORLD BEER》ハイネケン,730,ダイニングバー・バル,HUB　梅田東通り店,大阪府大阪市北区堂山町4-12　　白馬車ビルPart１　2F,06-6130-8982,34.702542,135.5021224,https://www.hotpepper.jp/strJ001250820/
《WORLD BEER》ハイネケン,730,ダイニングバー・バル,HUB　梅田茶屋町　アプローズ店,大阪府大阪市北区茶屋町19-19　アプローズタワーB1F,06-6377-8682,34.7083901,135.4984691,https://www.hotpepper.jp/strJ001119315/
《WORLD BEER》ハイネケン,730,ダイニングバー・バル,ＨＵＢ 梅田茶屋町店,大阪府大阪市北区茶屋町3-4　チロル茶屋町ビル2F,06-6376-8682,34.7062264,135.4989557,https://www.hotpepper.jp/strJ000727051/
《WORLD BEER》ハイネケン,730,ダイニングバー・バル,HUB LINKS UMEDA店,大阪府大阪市北区大深町1-1　LINKS UMEDA　B1F,06-6485-0715,34.7046023,135.4962013,https://www.hotpepper.jp/strJ001250818/
《WORLD BEER》ハイネケン,730,ダイニングバー・バル,ＨＵＢ　東梅田店,大阪府大阪市北区小松原町1-7 ミスターりんビルB1F,06-6130-9182,34.7021835,135.500852,https://www.hotpepper.jp/strJ001178334/
《WORLD BEER》パンクIPA/コロナ,780,ダイニングバー・バル,ＨＵＢ 梅田茶屋町店,大阪府大阪市北区茶屋町3-4　チロル茶屋町ビル2F,06-6376-8682,34.7062264,135.4989557,https://www.hotpepper.jp/strJ000727051/
《WORLD BEER》パンクIPA/コロナ,780,ダイニングバー・バル,HUB LINKS UMEDA店,大阪府大阪市北区大深町1-1　LINKS UMEDA　B1F,06-6485-0715,34.7046023,135.4962013,https://www.hotpepper.jp/strJ001250818/
《WORLD BEER》パンクIPA/コロナ,780,ダイニングバー・バル,ＨＵＢ　東梅田店,大阪府大阪市北区小松原町1-7 ミスターりんビルB1F,06-6130-9182,34.7021835,135.500852,https://www.hotpepper.jp/strJ001178334/
《WORLD BEER》パンクIPA/コロナ,780,ダイニングバー・バル,HUB　梅田茶屋町　アプローズ店,大阪府大阪市北区茶屋町19-19　アプローズタワーB1F,06-6377-8682,34.7083901,135.4984691,https://www.hotpepper.jp/strJ001119315/
《WORLD BEER》パンクIPA/コロナ,780,ダイニングバー・バル,HUB　梅田東通り店,大阪府大阪市北区堂山町4-12　　白馬車ビルPart１　2F,06-6130-8982,34.702542,135.5021224,https://www.hotpepper.jp/strJ001250820/
《WORLD BEER》ヒューガルデン,700,ダイニングバー・バル,ＨＵＢ　東梅田店,大阪府大阪市北区小松原町1-7 ミスターりんビルB1F,06-6130-9182,34.7021835,135.500852,https://www.hotpepper.jp/strJ001178334/
《WORLD BEER》ヒューガルデン,700,ダイニングバー・バル,HUB　梅田東通り店,大阪府大阪市北区堂山町4-12　　白馬車ビルPart１　2F,06-6130-8982,34.702542,135.5021224,https://www.hotpepper.jp/strJ001250820/
《WORLD BEER》ヒューガルデン,700,ダイニングバー・バル,HUB　梅田茶屋町　アプローズ店,大阪府大阪市北区茶屋町19-19　アプローズタワーB1F,06-6377-8682,34.7083901,135.4984691,https://www.hotpepper.jp/strJ001119315/
《WORLD BEER》ヒューガルデン,700,ダイニングバー・バル,ＨＵＢ 梅田茶屋町店,大阪府大阪市北区茶屋町3-4　チロル茶屋町ビル2F,06-6376-8682,34.7062264,135.4989557,https://www.hotpepper.jp/strJ000727051/
《WORLD BEER》ヒューガルデン,700,ダイニングバー・バル,HUB LINKS UMEDA店,大阪府大阪市北区大深町1-1　LINKS UMEDA　B1F,06-6485-0715,34.7046023,135.4962013,https://www.hotpepper.jp/strJ001250818/
【BEER】キリン一番搾り (中),462,焼肉・ホルモン・韓国料理,国産牛焼肉食べ放題　ふうふう亭JAPAN　梅田茶屋町店,大阪府大阪市北区茶屋町３‐２　チロル茶屋町ビル８Ｆ,050-5831-2034,34.7062264,135.4989557,https://www.hotpepper.jp/strJ000017048/
【アイルランド】ドラフトギネス,780,バー・カクテル,セブンシーズ,大阪府大阪市北区角田町９‐２０　新梅田食道街内,06-6312-4594,34.7035797,135.4980814,https://www.hotpepper.jp/strJ000013614/
【アイルランド】ドラフトギネス,780,バー・カクテル,セブンシーズ,大阪府大阪市北区角田町９‐２０　新梅田食道街内,06-6312-4594,34.7035797,135.4980814,https://www.hotpepper.jp/strJ000013614/
【アメリカ】バドワイザー,700,バー・カクテル,セブンシーズ,大阪府大阪市北区角田町９‐２０　新梅田食道街内,06-6312-4594,34.7035797,135.4980814,https://www.hotpepper.jp/strJ000013614/
【アメリカ】バドワイザー,700,バー・カクテル,セブンシーズ,大阪府大阪市北区角田町９‐２０　新梅田食道街内,06-6312-4594,34.7035797,135.4980814,https://www.hotpepper.jp/strJ000013614/
【オーストラリア】カールトンクラウンラガー,820,バー・カクテル,セブンシーズ,大阪府大阪市北区角田町９‐２０　新梅田食道街内,06-6312-4594,34.7035797,135.4980814,https://www.hotpepper.jp/strJ000013614/
【オーストラリア】カールトンクラウンラガー,820,バー・カクテル,セブンシーズ,大阪府大阪市北区角田町９‐２０　新梅田食道街内,06-6312-4594,34.7035797,135.4980814,https://www.hotpepper.jp/strJ000013614/
【ザ・プレミアムモルツ 】生ビール,550,居酒屋・和食,梅田個室居酒屋　いろどり　大阪駅前店,大阪府大阪市北区梅田２-１-１８　富士ビルB1,050-5352-9240,34.6993296,135.4954026,https://www.hotpepper.jp/strJ001211098/
【ザ・プレミアムモルツ】瓶ビール(中瓶),638,居酒屋・和食,梅田個室居酒屋　いろどり　大阪駅前店,大阪府大阪市北区梅田２-１-１８　富士ビルB1,050-5352-9240,34.6993296,135.4954026,https://www.hotpepper.jp/strJ001211098/
【ベルギー】ヒューガルデンホワイト,820,バー・カクテル,セブンシーズ,大阪府大阪市北区角田町９‐２０　新梅田食道街内,06-6312-4594,34.7035797,135.4980814,https://www.hotpepper.jp/strJ000013614/
【ベルギー】ヒューガルデン・ホワイト 樽生400ml,820,バー・カクテル,セブンシーズ,大阪府大阪市北区角田町９‐２０　新梅田食道街内,06-6312-4594,34.7035797,135.4980814,https://www.hotpepper.jp/strJ000013614/
【ベルギー】ヒューガルデン・ホワイト 樽生800ml,1540,バー・カクテル,セブンシーズ,大阪府大阪市北区角田町９‐２０　新梅田食道街内,06-6312-4594,34.7035797,135.4980814,https://www.hotpepper.jp/strJ000013614/
【ボトルビール】ギネス,720,イタリアン・フレンチ・ダイニングバー・バル,ナポリの食堂　ALBERTA　ALBERTA（アルバータ　アルバータ）　大阪マルビル店,大阪府大阪市北区梅田１-9-20-B2-202　大阪マルビルB2F,050-5816-6364,34.6998287,135.4970207,https://www.hotpepper.jp/strJ000029379/
【中ジョッキ】アサヒ スーパードライ,550,焼肉・ホルモン・韓国料理,焼肉酒家　牛角　梅田阪急東通り店,大阪府大阪市北区小松原町1-16 梅田モコビル 1F,050-5841-3338,34.7025203,135.5010177,https://www.hotpepper.jp/strJ000988970/
【中ジョッキ】アサヒ スーパードライ,550,焼肉・ホルモン・韓国料理,焼肉食べ放題酒家　牛角-ハナレ-梅田阪急東通り店,大阪府大阪市北区小松原町1-26レジャービル寿楽1階・2階,050-5287-4439,34.7023328,135.5014425,https://www.hotpepper.jp/strJ001176937/
【中瓶】アサヒスーパードライ,495,居酒屋,餃子と手羽先　まじめや　大阪駅前第二ビル店,大阪府大阪市北区梅田１－２－２　大阪駅前第２ビル　B1,050-5452-6053,34.6989342,135.4979539,https://www.hotpepper.jp/strJ001258862/
【中瓶】アサヒスーパードライ,580,和食・居酒屋,炭火焼dining おかげ家 梅田店,大阪府大阪市北区鶴野町2-5,050-5572-3869,34.7069887,135.5009717,https://www.hotpepper.jp/strJ001099805/
【中瓶】キリンラガービール,715,和食,囲炉端　堂山,大阪府大阪市北区堂山町６-７　ステージゴールドビル1F,050-5258-6143,34.7028893,135.5028207,https://www.hotpepper.jp/strJ001245852/
【中瓶】ザ・プレミアムモルツ,495,居酒屋,餃子と手羽先　まじめや　大阪駅前第二ビル店,大阪府大阪市北区梅田１－２－２　大阪駅前第２ビル　B1,050-5452-6053,34.6989342,135.4979539,https://www.hotpepper.jp/strJ001258862/
【中瓶】ザ・プレミアム・モルツ,748,和食,囲炉端　堂山,大阪府大阪市北区堂山町６-７　ステージゴールドビル1F,050-5258-6143,34.7028893,135.5028207,https://www.hotpepper.jp/strJ001245852/
【中瓶】スーパードライ,693,和食,囲炉端　堂山,大阪府大阪市北区堂山町６-７　ステージゴールドビル1F,050-5258-6143,34.7028893,135.5028207,https://www.hotpepper.jp/strJ001245852/
【低糖質】PSB(パーフェクトサントリービール),495,焼肉・ホルモン,炭火焼肉×食べ放題 段サ上レバモツ喰ライ 梅田東通り店,大阪府大阪市北区小松原町4-5,050-5449-0346,34.7026707,135.5010691,https://www.hotpepper.jp/strJ001227207/
【大瓶ビール】 アサヒスーパードライ,748,居酒屋,牛刺し　牛ホルモン串　なにわ酒房　大阪梅田　茶屋町本店,大阪府大阪市北区芝田１－７－２,050-5452-1691,34.7072867,135.4979365,https://www.hotpepper.jp/strJ001250759/
【大瓶ビール】 キリンクラシックラガー,748,居酒屋,牛刺し　牛ホルモン串　なにわ酒房　大阪梅田　茶屋町本店,大阪府大阪市北区芝田１－７－２,050-5452-1691,34.7072867,135.4979365,https://www.hotpepper.jp/strJ001250759/
【大瓶ビール】 サッポロ 赤星ラガー,748,居酒屋,牛刺し　牛ホルモン串　なにわ酒房　大阪梅田　茶屋町本店,大阪府大阪市北区芝田１－７－２,050-5452-1691,34.7072867,135.4979365,https://www.hotpepper.jp/strJ001250759/
【日本】アサヒプレミアム熟撰 樽生300ml,520,バー・カクテル,セブンシーズ,大阪府大阪市北区角田町９‐２０　新梅田食道街内,06-6312-4594,34.7035797,135.4980814,https://www.hotpepper.jp/strJ000013614/
【日本】アサヒプレミアム熟撰 樽生400ml,620,バー・カクテル,セブンシーズ,大阪府大阪市北区角田町９‐２０　新梅田食道街内,06-6312-4594,34.7035797,135.4980814,https://www.hotpepper.jp/strJ000013614/
【瓶】アサヒスーパードライ,499,居酒屋,大衆すし酒場　ジャポニカセカンド　梅田東通り店,大阪府大阪市北区小松原町1-1 小松原ビル1階,050-5280-7553,34.7022238,135.5014872,https://www.hotpepper.jp/strJ001266048/
【瓶】アサヒスーパードライ/キリン一番搾り,660,焼肉・ホルモン,牛タンと和牛焼き　青葉苑　阪急うめだ本店,大阪府大阪市北区角田町8-7阪急うめだ本店12F,050-5452-6068,34.7028186,135.4985323,https://www.hotpepper.jp/strJ001258496/
【瓶】サッポロビール黒,499,居酒屋,大衆すし酒場　ジャポニカセカンド　梅田東通り店,大阪府大阪市北区小松原町1-1 小松原ビル1階,050-5280-7553,34.7022238,135.5014872,https://www.hotpepper.jp/strJ001266048/
【瓶】サントリーモルツ,499,居酒屋,大衆すし酒場　ジャポニカセカンド　梅田東通り店,大阪府大阪市北区小松原町1-1 小松原ビル1階,050-5280-7553,34.7022238,135.5014872,https://www.hotpepper.jp/strJ001266048/
【瓶ビール】 スーパードライ (中瓶),638,居酒屋・中華,肉汁餃子製作所　食べ放題　居酒屋　餃子のかっちゃん　梅田茶屋町店,大阪府大阪市北区芝田１-5-14 シマサダビル,050-5831-6885,34.7062981,135.4975835,https://www.hotpepper.jp/strJ001282711/
【瓶ビール】アサヒ or キリン,825,洋食,ニュー松坂 梅田32番街店,大阪府大阪市北区角田町8-47 阪急グランドビル31F,06-6484-9801,34.7029862,135.4990478,https://www.hotpepper.jp/strJ001178967/
【瓶ビール】アサヒスーパードライ 中瓶,638,居酒屋,新世界　串カツ　いっとく　阪急梅田堂山店,大阪府大阪市北区堂山町5-9　扇会館,06-6362-9499,34.7030114,135.5020856,https://www.hotpepper.jp/strJ001171158/
【瓶ビール】アサヒスーパードライ(中),600,居酒屋,居酒屋うろ,大阪府大阪市北区中津１-17-12  メロディーハイム中津5番館1F,050-5834-6619,34.7122316,135.4970226,https://www.hotpepper.jp/strJ000772495/
【瓶ビール】キリン一番搾り 中瓶,638,居酒屋,新世界　串カツ　いっとく　阪急梅田堂山店,大阪府大阪市北区堂山町5-9　扇会館,06-6362-9499,34.7030114,135.5020856,https://www.hotpepper.jp/strJ001171158/
【瓶ビール】サッポロ ラガービール,550,ダイニングバー・バル,ワインとオマール海老の店 UOMO（ウォモ）　大阪駅前第3ビル,大阪府大阪市北区梅田１-１-３　大阪駅前第3ビルB1　14号,050-5355-7664,34.6987788,135.499416,https://www.hotpepper.jp/strJ001217975/
【瓶ビール】ザ・モルツ,700,創作料理,割烹・ろばた　和心,大阪府大阪市北区曽根崎新地１-8-14,050-5349-7287,34.6982594,135.4988228,https://www.hotpepper.jp/strJ001128852/
【瓶ビール】ザ・モルツ 中瓶,638,居酒屋,新世界　串カツ　いっとく　阪急梅田堂山店,大阪府大阪市北区堂山町5-9　扇会館,06-6362-9499,34.7030114,135.5020856,https://www.hotpepper.jp/strJ001171158/
【瓶ビール】ヒューガルデンホワイト,880,バー・カクテル,Bar SPORTS運慶,大阪府大阪市北区曽根崎新地１-1-39延藤ビル1階,06-6344-1559,34.6967625,135.5002813,https://www.hotpepper.jp/strJ000758725/
【瓶ビール】一番搾り黒生/オリオンビール/コロナ エキストラ,770,バー・カクテル,Bar SPORTS運慶,大阪府大阪市北区曽根崎新地１-1-39延藤ビル1階,06-6344-1559,34.6967625,135.5002813,https://www.hotpepper.jp/strJ000758725/
【生ビール】 キリン一番搾り,616,居酒屋,牛刺し　牛ホルモン串　なにわ酒房　大阪梅田　茶屋町本店,大阪府大阪市北区芝田１－７－２,050-5452-1691,34.7072867,135.4979365,https://www.hotpepper.jp/strJ001250759/
【生ビール】 神泡のザ・プレミアム・モルツ,328,居酒屋・中華,肉汁餃子製作所　食べ放題　居酒屋　餃子のかっちゃん　梅田茶屋町店,大阪府大阪市北区芝田１-5-14 シマサダビル,050-5831-6885,34.7062981,135.4975835,https://www.hotpepper.jp/strJ001282711/
【生ビール】アサヒ スーパー・ドライ (中),825,洋食,ニュー松坂 梅田32番街店,大阪府大阪市北区角田町8-47 阪急グランドビル31F,06-6484-9801,34.7029862,135.4990478,https://www.hotpepper.jp/strJ001178967/
【生ビール】ザ・プレミアム・モルツ マスターズドリーム,980,創作料理,割烹・ろばた　和心,大阪府大阪市北区曽根崎新地１-8-14,050-5349-7287,34.6982594,135.4988228,https://www.hotpepper.jp/strJ001128852/
【生ビール】ザ・プレミアム・モルツ 香るエール,550,ダイニングバー・バル,ワインとオマール海老の店 UOMO（ウォモ）　大阪駅前第3ビル,大阪府大阪市北区梅田１-１-３　大阪駅前第3ビルB1　14号,050-5355-7664,34.6987788,135.499416,https://www.hotpepper.jp/strJ001217975/
【生ビール】ザ・プレミアム・モルツ<香る>エール,439,居酒屋,新世界　串カツ　いっとく　阪急梅田堂山店,大阪府大阪市北区堂山町5-9　扇会館,06-6362-9499,34.7030114,135.5020856,https://www.hotpepper.jp/strJ001171158/
【赤】メッツァコロナ アンテッラ ピノ・ノワール,3179,ダイニングバー・バル,Ｇｕｍｂｏ＆ＯｙｓｔｅｒＢａｒ（ガンボ＆オイスターバー）　ＮＵ茶屋町店,大阪府大阪市北区茶屋町１０－１２　NU茶屋町８F,050-5265-6862,34.7069626,135.4990769,https://www.hotpepper.jp/strJ000041371/
【赤】メッツァコロナ アンテッラ ピノ・ノワール,3179,イタリアン・フレンチ,Umeda Station ＯｙｓｔｅｒＢａｒ　阪急グランドビル,大阪府大阪市北区角田町8-47　阪急グランドビル32番街31F,050-5265-6859,34.7029862,135.4990478,https://www.hotpepper.jp/strJ001001399/
お得ジョッキ生(アサヒスーパードライ),528,焼肉・ホルモン,炭火焼肉×食べ放題 段サ上レバモツ喰ライ 梅田東通り店,大阪府大阪市北区小松原町4-5,050-5449-0346,34.7026707,135.5010691,https://www.hotpepper.jp/strJ001227207/
きりんクラシックラガー大瓶,650,居酒屋・創作料理,大衆食堂きりんホール,大阪府大阪市北区堂山町2-14ケイワイ堂山ビル102号,050-5280-9919,34.7029,135.5038402,https://www.hotpepper.jp/strJ001267399/
びんビール(アサヒスーパードライ),600,和食,わっぜ,大阪府大阪市北区曽根崎新地１-11-4 一らくビル1F,06-6225-7114,34.7661566,135.4604355,https://www.hotpepper.jp/strJ001217609/
アサヒ,500,カフェ・スイーツ,whitebird  coffee  stand,大阪府大阪市北区曽根崎２-1-12　国道ビル　1F,06-6809-3769,34.6984571,135.5016622,https://www.hotpepper.jp/strJ001142803/
アサヒ,770,和食,割烹 ふじ久,大阪府大阪市北区曽根崎新地１‐２‐１３,050-5265-9201,34.7011661,135.5002261,https://www.hotpepper.jp/strJ000448570/
アサヒ,500,中華,焼賣太樓 桜橋店,大阪府大阪市北区梅田２-1-16,06-6341-7061,34.6994133,135.4953013,https://www.hotpepper.jp/strJ001119557/
アサヒ エクストラコールド,710,ダイニングバー・バル,阪急うめだ本店　美味旬菜,大阪府大阪市北区角田町8-7　阪急うめだ本店12F,050-5877-1665,34.7028186,135.4985323,https://www.hotpepper.jp/strJ001041245/
アサヒ スーパドライ (中瓶),600,和食,雲仙　北新地本店,大阪府大阪市北区曽根崎新地１-9-15 雲仙ビル1～3F,06-6345-0902,34.6982594,135.4988228,https://www.hotpepper.jp/strJ000448663/
アサヒ スーパー ドライ Regular,500,ダイニングバー・バル,DRUNK　BEARS　Nu茶屋町店,大阪府大阪市北区茶屋町10-12　NU茶屋町Ｂ1Ｆ,06-6372-7275,34.7069626,135.4990769,https://www.hotpepper.jp/strJ000063146/
アサヒ スーパードライ,825,中華,海皇(はいふぁん) 堂島店,大阪府大阪市北区堂島１-4-2  ビールディング北新地3F,050-5287-1755,34.696101,135.4982009,https://www.hotpepper.jp/strJ001176657/
アサヒ スーパードライ,570,カラオケ・パーティ,カラオケ　ビッグエコー　梅田茶屋町本店,大阪府大阪市北区茶屋町2-16 イースクエア茶屋町2F,06-6292-8575,34.7058328,135.499195,https://www.hotpepper.jp/strJ001195932/
